GEO_ID,NAME,S1903_C03_001E,,
Geography,Geographic Area Name,Estimate!!Median income (dollars)!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households,80% AMI,120%AMI
1400000US37001020100,Census Tract 201; Alamance County; North Carolina,51713,41370.4,62055.6
1400000US37001020200,Census Tract 202; Alamance County; North Carolina,33674,26939.2,40408.8
1400000US37001020301,Census Tract 203.01; Alamance County; North Carolina,35651,28520.8,42781.2
1400000US37001020302,Census Tract 203.02; Alamance County; North Carolina,51136,40908.8,61363.2
1400000US37001020400,Census Tract 204; Alamance County; North Carolina,36136,28908.8,43363.2
1400000US37001020501,Census Tract 205.01; Alamance County; North Carolina,59274,47419.2,71128.8
1400000US37001020502,Census Tract 205.02; Alamance County; North Carolina,41632,33305.6,49958.4
1400000US37001020601,Census Tract 206.01; Alamance County; North Carolina,100543,80434.4,120651.6
1400000US37001020602,Census Tract 206.02; Alamance County; North Carolina,67548,54038.4,81057.6
1400000US37001020701,Census Tract 207.01; Alamance County; North Carolina,61782,49425.6,74138.4
1400000US37001020702,Census Tract 207.02; Alamance County; North Carolina,52129,41703.2,62554.8
1400000US37001020801,Census Tract 208.01; Alamance County; North Carolina,56375,45100,67650
1400000US37001020802,Census Tract 208.02; Alamance County; North Carolina,39250,31400,47100
1400000US37001020901,Census Tract 209.01; Alamance County; North Carolina,54695,43756,65634
1400000US37001020902,Census Tract 209.02; Alamance County; North Carolina,80820,64656,96984
1400000US37001021000,Census Tract 210; Alamance County; North Carolina,30991,24792.8,37189.2
1400000US37001021101,Census Tract 211.01; Alamance County; North Carolina,55159,44127.2,66190.8
1400000US37001021102,Census Tract 211.02; Alamance County; North Carolina,54990,43992,65988
1400000US37001021201,Census Tract 212.01; Alamance County; North Carolina,53507,42805.6,64208.4
1400000US37001021204,Census Tract 212.04; Alamance County; North Carolina,75466,60372.8,90559.2
1400000US37001021205,Census Tract 212.05; Alamance County; North Carolina,78462,62769.6,94154.4
1400000US37001021206,Census Tract 212.06; Alamance County; North Carolina,67449,53959.2,80938.8
1400000US37001021207,Census Tract 212.07; Alamance County; North Carolina,59653,47722.4,71583.6
1400000US37001021300,Census Tract 213; Alamance County; North Carolina,73750,59000,88500
1400000US37001021400,Census Tract 214; Alamance County; North Carolina,95647,76517.6,114776.4
1400000US37001021500,Census Tract 215; Alamance County; North Carolina,80250,64200,96300
1400000US37001021600,Census Tract 216; Alamance County; North Carolina,70417,56333.6,84500.4
1400000US37001021701,Census Tract 217.01; Alamance County; North Carolina,95245,76196,114294
1400000US37001021702,Census Tract 217.02; Alamance County; North Carolina,75199,60159.2,90238.8
1400000US37001021703,Census Tract 217.03; Alamance County; North Carolina,72045,57636,86454
1400000US37001021801,Census Tract 218.01; Alamance County; North Carolina,75729,60583.2,90874.8
1400000US37001021802,Census Tract 218.02; Alamance County; North Carolina,58810,47048,70572
1400000US37001021803,Census Tract 218.03; Alamance County; North Carolina,49085,39268,58902
1400000US37001021901,Census Tract 219.01; Alamance County; North Carolina,85325,68260,102390
1400000US37001021902,Census Tract 219.02; Alamance County; North Carolina,62989,50391.2,75586.8
1400000US37001022001,Census Tract 220.01; Alamance County; North Carolina,98542,78833.6,118250.4
1400000US37001022002,Census Tract 220.02; Alamance County; North Carolina,57031,45624.8,68437.2
