"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","cmf_ura","TimeFrame","GeoVintage","Source","Location"
"Census Tract","37001020100","NC","37001020100","=""37001020100""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37001020200","NC","37001020200","=""37001020200""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37001020301","NC","37001020301","=""37001020301""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37001020302","NC","37001020302","=""37001020302""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37001020400","NC","37001020400","=""37001020400""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37001020501","NC","37001020501","=""37001020501""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37001020502","NC","37001020502","=""37001020502""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37001020601","NC","37001020601","=""37001020601""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37001020602","NC","37001020602","=""37001020602""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37001020701","NC","37001020701","=""37001020701""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37001020702","NC","37001020702","=""37001020702""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37001020801","NC","37001020801","=""37001020801""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37001020802","NC","37001020802","=""37001020802""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37001020901","NC","37001020901","=""37001020901""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37001020902","NC","37001020902","=""37001020902""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37001021000","NC","37001021000","=""37001021000""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37001021101","NC","37001021101","=""37001021101""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37001021102","NC","37001021102","=""37001021102""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37001021201","NC","37001021201","=""37001021201""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
"Census Tract","37001021204","NC","37001021204","=""37001021204""","Not a Rural Area","2024","2020","CDFI Fund","North Carolina (State)"
