GeoID_Description,GeoID_Name,SitsinState,GeoID,GeoID_Formatted,Median Household Income ,80% AMI ,120% AMI ,TimeFrame,GeoVintage,Source,Location
Census Tract,37001020100,NC,37001020100,37001020100,"51,713.00","41,370.40","62,055.60",2018-2022,2022,Census,North Carolina (State)
Census Tract,37001020200,NC,37001020200,37001020200,"33,674.00","26,939.20","40,408.80",2018-2022,2022,Census,North Carolina (State)
Census Tract,37001020301,NC,37001020301,37001020301,"35,651.00","28,520.80","42,781.20",2018-2022,2022,Census,North Carolina (State)
Census Tract,37001020302,NC,37001020302,37001020302,"51,136.00","40,908.80","61,363.20",2018-2022,2022,Census,North Carolina (State)
Census Tract,37001020400,NC,37001020400,37001020400,"36,136.00","28,908.80","43,363.20",2018-2022,2022,Census,North Carolina (State)
Census Tract,37001020501,NC,37001020501,37001020501,"59,274.00","47,419.20","71,128.80",2018-2022,2022,Census,North Carolina (State)
Census Tract,37001020502,NC,37001020502,37001020502,"41,632.00","33,305.60","49,958.40",2018-2022,2022,Census,North Carolina (State)
Census Tract,37001020601,NC,37001020601,37001020601,"100,543.00","80,434.40","120,651.60",2018-2022,2022,Census,North Carolina (State)
Census Tract,37001020602,NC,37001020602,37001020602,"67,548.00","54,038.40","81,057.60",2018-2022,2022,Census,North Carolina (State)
Census Tract,37001020701,NC,37001020701,37001020701,"61,782.00","49,425.60","74,138.40",2018-2022,2022,Census,North Carolina (State)
Census Tract,37001020702,NC,37001020702,37001020702,"52,129.00","41,703.20","62,554.80",2018-2022,2022,Census,North Carolina (State)
Census Tract,37001020801,NC,37001020801,37001020801,"56,375.00","45,100.00","67,650.00",2018-2022,2022,Census,North Carolina (State)
Census Tract,37001020802,NC,37001020802,37001020802,"39,250.00","31,400.00","47,100.00",2018-2022,2022,Census,North Carolina (State)
Census Tract,37001020901,NC,37001020901,37001020901,"54,695.00","43,756.00","65,634.00",2018-2022,2022,Census,North Carolina (State)
